id,name,owner,route,evidence_kind,final_shell_capture,acceptance,evidence_paths
x4dva,1A. Brand light · Start,session 06,/p/default/new,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/x4dva.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/x4dva-browser.png
PjeE9,15A. Task commits · Desktop light,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000/commits,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/PjeE9.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/PjeE9-browser.png
feU0A,15C. Task commits · Mobile light,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000/commits,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/feU0A.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/feU0A-browser.png
HClxj,15B. Task commits · Desktop dark,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000/commits,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/HClxj.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/HClxj-browser.png
ODSy3,15D. Task commits · Mobile dark,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000/commits,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/ODSy3.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/ODSy3-browser.png
MFtcY,16A. Task files · Desktop light,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000/files,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/MFtcY.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/MFtcY-browser.png
LAKkC,16C. Task files · Mobile light,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000/files,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/LAKkC.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/LAKkC-browser.png
l3f2r3,16B. Task files · Desktop dark,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000/files,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/l3f2r3.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/l3f2r3-browser.png
S1Gdo,16D. Task files · Mobile dark,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000/files,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/S1Gdo.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/S1Gdo-browser.png
T2fE7,17. Sidebar indicators · Desktop light,shared a4395cbb — full shell and exact shared icon adapter,,specimen states,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/T2fE7.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/sidebar-states-light-desktop-scroll-0.5.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/sidebar-states-light-desktop-scroll-1.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/sidebar-states-light-desktop.png
L61J13,17. Sidebar indicators · Desktop dark,shared a4395cbb — full shell and exact shared icon adapter,,specimen states,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/L61J13.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/sidebar-states-dark-desktop-scroll-0.5.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/sidebar-states-dark-desktop-scroll-1.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/sidebar-states-dark-desktop.png
cfIXv,17. Sidebar indicators · Mobile light,shared a4395cbb — full shell and exact shared icon adapter,,specimen states,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/cfIXv.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/sidebar-states-light-mobile-scroll-0.5.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/sidebar-states-light-mobile-scroll-1.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/sidebar-states-light-mobile.png
zSP4H,17. Sidebar indicators · Mobile dark,shared a4395cbb — full shell and exact shared icon adapter,,specimen states,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/zSP4H.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/sidebar-states-dark-mobile-scroll-0.5.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/sidebar-states-dark-mobile-scroll-1.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/sidebar-states-dark-mobile.png
OeHGM,18. Appearance · Density and reading-width behavior,shared a4395cbb — full shell and exact shared icon adapter,,specimen states,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/OeHGM.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/appearance-dark-comfortable-narrow.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/appearance-dark-comfortable-wide.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/appearance-dark-compact-narrow.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/appearance-dark-compact-wide.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/appearance-dark-ultra-narrow.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/appearance-dark-ultra-wide.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/appearance-light-comfortable-narrow.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/appearance-light-comfortable-wide.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/appearance-light-compact-narrow.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/appearance-light-compact-wide.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/appearance-light-ultra-narrow.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/appearance-light-ultra-wide.png
gqaUM,10. Run from GitHub · Desktop light,Skills/Workflows — new worker queued,/p/default/skills,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/gqaUM.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/gqaUM-detail-browser.png
EsGpp,10. Run from GitHub · Desktop dark,Skills/Workflows — new worker queued,/p/default/skills,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/EsGpp.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/EsGpp-detail-browser.png
YS15Y,10. Run from GitHub · Mobile light,Skills/Workflows — new worker queued,/p/default/skills,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/YS15Y.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/YS15Y-detail-browser.png
wLVhd,10. Run from GitHub · Mobile dark,Skills/Workflows — new worker queued,/p/default/skills,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/wLVhd.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/wLVhd-detail-browser.png
acXhB,10. Skill detail · Mobile light,Skills/Workflows — new worker queued,/p/default/skills,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/acXhB.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/acXhB-detail-browser.png
utoCL,10. Skill detail · Mobile dark,Skills/Workflows — new worker queued,/p/default/skills,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/utoCL.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/utoCL-detail-browser.png
f2LGv,10. Manage skills · Desktop light,Skills/Workflows — new worker queued,/p/default/skills,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/f2LGv.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/f2LGv-detail-browser.png
suUEJ,10. Manage skills · Desktop dark,Skills/Workflows — new worker queued,/p/default/skills,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/suUEJ.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/suUEJ-detail-browser.png
MB5Yx,10. Manage skills · Mobile light,Skills/Workflows — new worker queued,/p/default/skills,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/MB5Yx.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/MB5Yx-detail-browser.png
IbcKi,10. Manage skills · Mobile dark,Skills/Workflows — new worker queued,/p/default/skills,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/IbcKi.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/IbcKi-detail-browser.png
VDDSI,11. Workflow Auto open · Desktop light,Skills/Workflows — new worker queued,/p/default/workflows,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/VDDSI.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/VDDSI-state-browser.png
MmQCH,11. Workflow Auto open · Desktop dark,Skills/Workflows — new worker queued,/p/default/workflows,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/MmQCH.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/MmQCH-state-browser.png
Zsg4w,11. Workflow Auto open · Mobile light,Skills/Workflows — new worker queued,/p/default/workflows,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/Zsg4w.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/Zsg4w-state-browser.png
e7UWy,11. Workflow Auto open · Mobile dark,Skills/Workflows — new worker queued,/p/default/workflows,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/e7UWy.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/e7UWy-state-browser.png
e8wQer,19A. Inbox · Follow-up review,tasks 445,/p/default/inbox,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/e8wQer.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/e8wQer-browser.png
f2220g,20A. Automations · List and activity,tasks 445,/p/default/automations,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/f2220g.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/f2220g-browser.png
UFERI,20B. Automations · Editor,tasks 445,/p/default/automations/fixture-auto,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/UFERI.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/UFERI-browser.png
yH9DZ,21A. Variant comparison · Results,tasks 445,/p/default/compare/fixture-group,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/yH9DZ.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/yH9DZ-browser.png
empfw,22A. Plan review · Reorder and start,session 06,/p/default/tasks/10000000-0000-4000-8000-000000000000,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/empfw.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/empfw-plan-browser.png
O2W1k,23A. New task · Starters and follow-ups,session 06,/p/default/new,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/O2W1k.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/O2W1k-browser.png
qTzd6,24A. Shared navigation · Optional tools and project entry,tools e2fa,/tools,page,True,refreshed owned Tools pair; integrated acceptance pending,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/qTzd6.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/tools-final-shell/tools-matched-light.png
M5SWe,25A. Project tasks · Full resource table and column menu,tasks 445,/p/default/,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/M5SWe.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/M5SWe-state-browser.png
AHKNo,"26A. All tasks · Grouping, tags and run actions",tasks 445,/tasks,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/AHKNo.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/AHKNo-populated-browser.png
I44Ul8,"27A. GitHub · PR conversation, filters and readiness",git 565,/p/default/github/prs/218,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/I44Ul8.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/I44Ul8-detail-browser.png
ZhHkR,28A. Task actions · Menu and handoff reader,tasks 445,/p/default/tasks/10000000-0000-4000-8000-000000000000,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/ZhHkR.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/ZhHkR-state-browser.png
rEzlh,"29A. Confirmation dialogs · Tasks, variants and plans",tasks 445,,specimen states,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/rEzlh.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/confirm-delete-task-light.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/confirm-pick-variant-light.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/confirm-plan-overwrite-light.png
zSB9u,"27B. GitHub PR · Changes, blocked merge and confirmation",git 565,/p/default/github/prs/218,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/zSB9u.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/zSB9u-detail-browser.png
ur8ZK,S02. Project settings / Agents · Desktop light,settings ba089 — Settings only,/p/default/settings/agents,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/ur8ZK.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/ur8ZK-browser.png
w1inBF,S03. Project settings / Agent config · Desktop light,settings ba089 — Settings only,/p/default/settings/agent-config,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/w1inBF.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/w1inBF-browser.png
LmL0v,S04. Project settings / Worktrees · Desktop light,settings ba089 — Settings only,/p/default/settings/worktrees,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/LmL0v.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/LmL0v-browser.png
cv6mn,S06. Project settings / Prompt templates · Desktop light,settings ba089 — Settings only,/p/default/settings/prompt-templates,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/cv6mn.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/cv6mn-browser.png
x1Iye,S09. Global settings / Notifications · Desktop light,settings ba089 — Settings only,/settings/global/notifications,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/x1Iye.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/x1Iye-browser.png
sBaI8,S10. Global settings / Resources · Desktop light,settings ba089 — Settings only,/settings/global/resources,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/sBaI8.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/sBaI8-browser.png
RysDF,S11. Global settings / Skills · Desktop light,settings ba089 — Settings only,/settings/global/skills,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/RysDF.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/RysDF-browser.png
XLiCf,S12. Global settings / Agent accounts · Desktop light,settings ba089 — Settings only,/settings/global/accounts,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/XLiCf.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/XLiCf-browser.png
Id0Gw,S13. Global settings / Projects · Desktop light,settings ba089 — Settings only,/settings/global/projects,page,False,historical baseline; final owning-worker integrated state verification required,/home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/design/Id0Gw.png | /home/agent/projects/cezar/.ai/cezar/worktrees/9ae05dcc-cc09-405c-9934-ab364076aa21/.ai/design-reference/iteration-3/runtime-verified/pairs/Id0Gw-browser.png
