ordinal,frameId,frameName,nodeId,nodeName,adjacentText,ancestorNames,ancestorIds,family,icon,style,fills,svg,geometryKey,width,height,colors
817,dVuKR,5C. All tasks · Mobile light,Omy8I,Action icon,View tasks,5C. All tasks · Mobile light > Page content > Other workspace projects > prime > View tasks,dVuKR/ZsZcb/k0ZE2/r9FuY/KK0sL,lucide,arrow-up-right,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-arrow-up-right-2d96557fe9e6.svg,lucide/arrow-up-right/2d96557fe9e6,16px,16px,#4B5566
818,dVuKR,5C. All tasks · Mobile light,t7d6z,Action icon,View tasks,5C. All tasks · Mobile light > Page content > Other workspace projects > earwitness > View tasks,dVuKR/ZsZcb/k0ZE2/p6c2AL/XumNu,lucide,arrow-up-right,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-arrow-up-right-2d96557fe9e6.svg,lucide/arrow-up-right/2d96557fe9e6,16px,16px,#4B5566
819,T5Xpa,5B. All tasks · Desktop dark,Miq1Y,Search,Search… ⌘K,5B. All tasks · Desktop dark > Shared project navigation > Search tasks,T5Xpa/oNgwS/zmwW1,lucide,search,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-search-97566fb629e3.svg,lucide/search/97566fb629e3,16px,16px,#8992A6
820,T5Xpa,5B. All tasks · Desktop dark,Zl85A,New task icon,New task,5B. All tasks · Desktop dark > Shared project navigation > Workspace links > New task,T5Xpa/oNgwS/KZzFc/BmQeP,lucide,plus,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#8992A6,icons/lucide-plus-5d291bcb8254.svg,lucide/plus/5d291bcb8254,18px,18px,#8992A6
821,T5Xpa,5B. All tasks · Desktop dark,O5FimD,Project folder,iac main,5B. All tasks · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > iac expanded,T5Xpa/oNgwS/KQyUm/v1fIi/v4agI,lucide,folder-open,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#AFB5C5,icons/lucide-folder-open-0bc4319b1274.svg,lucide/folder-open/0bc4319b1274,18px,18px,#AFB5C5
822,T5Xpa,5B. All tasks · Desktop dark,IsuOX,Expand project,iac main,5B. All tasks · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > iac expanded,T5Xpa/oNgwS/KQyUm/v1fIi/v4agI,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#AFB5C5
823,T5Xpa,5B. All tasks · Desktop dark,a5Y7JP,New task icon,Tasks,5B. All tasks · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Tasks,T5Xpa/oNgwS/KQyUm/v1fIi/s5hjd/VCFvJ,lucide,list-todo,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-list-todo-90fea884f26c.svg,lucide/list-todo/90fea884f26c,15px,15px,#8992A6
824,T5Xpa,5B. All tasks · Desktop dark,hHOuY,New task icon,Git,5B. All tasks · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Git,T5Xpa/oNgwS/KQyUm/v1fIi/s5hjd/Kc4cv,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96,15px,15px,#8992A6
825,T5Xpa,5B. All tasks · Desktop dark,P2vbl,New task icon,GitHub,5B. All tasks · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > GitHub,T5Xpa/oNgwS/KQyUm/v1fIi/s5hjd/Mu3ek,lucide,github,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-github-357f9b03fe86.svg,lucide/github/357f9b03fe86,15px,15px,#8992A6
826,T5Xpa,5B. All tasks · Desktop dark,S7MZN4,New task icon,Skills,5B. All tasks · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Skills,T5Xpa/oNgwS/KQyUm/v1fIi/s5hjd/jFls7,lucide,sparkles,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-sparkles-34b3b72da68a.svg,lucide/sparkles/34b3b72da68a,15px,15px,#8992A6
827,T5Xpa,5B. All tasks · Desktop dark,v2mWUn,New task icon,Workflows,5B. All tasks · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Workflows,T5Xpa/oNgwS/KQyUm/v1fIi/s5hjd/a9yTex,lucide,workflow,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-workflow-8a89b4882c44.svg,lucide/workflow/8a89b4882c44,15px,15px,#8992A6
828,T5Xpa,5B. All tasks · Desktop dark,i0uuB,New task icon,Settings,5B. All tasks · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Settings,T5Xpa/oNgwS/KQyUm/v1fIi/s5hjd/vmAq6,lucide,settings,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-settings-6f5239928ba5.svg,lucide/settings/6f5239928ba5,15px,15px,#8992A6
829,T5Xpa,5B. All tasks · Desktop dark,tpR2o,Reference status glyph,#217,5B. All tasks · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Selected parent session > Session labels > Optional tracker reference line > Optional PR or issue,T5Xpa/oNgwS/KQyUm/v1fIi/rPX7U/jJ7oW/RdGS4/FjwuH/J8NKlV,lucide,git-merge,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#D7BDFF,icons/lucide-git-merge-f64349b9dbe0.svg,lucide/git-merge/f64349b9dbe0,12px,12px,#D7BDFF
830,T5Xpa,5B. All tasks · Desktop dark,pxKG3,Reference status glyph,#214,5B. All tasks · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Selected parent session > Session labels > Optional tracker reference line > Linked issue #214,T5Xpa/oNgwS/KQyUm/v1fIi/rPX7U/jJ7oW/RdGS4/FjwuH/nEshW,lucide,circle-dot,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#83BAFF,icons/lucide-circle-dot-ea10782b4ad5.svg,lucide/circle-dot/ea10782b4ad5,12px,12px,#83BAFF
831,T5Xpa,5B. All tasks · Desktop dark,k0FH3A,Pin or unpin session,Fixing finalization failure #217 #214,5B. All tasks · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Selected parent session,T5Xpa/oNgwS/KQyUm/v1fIi/rPX7U/jJ7oW,lucide,pin,box-sizing: border-box; flex-shrink: 0; height: 18px; position: relative; width: 18px; z-index: 1,#D7BDFF,icons/lucide-pin-497f00cc15b7.svg,lucide/pin/497f00cc15b7,18px,18px,#D7BDFF
832,T5Xpa,5B. All tasks · Desktop dark,owP9r,Reference status glyph,#217,5B. All tasks · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Workers belonging to audit > Worker hierarchy guide > Audit worker > Session labels > Optional tracker reference line > Optional PR or issue,T5Xpa/oNgwS/KQyUm/v1fIi/rPX7U/iIdSn/Cp7J6/bJSQJ/Ewjd8/wK28r/aiwkj,lucide,git-merge,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#D7BDFF,icons/lucide-git-merge-f64349b9dbe0.svg,lucide/git-merge/f64349b9dbe0,12px,12px,#D7BDFF
833,T5Xpa,5B. All tasks · Desktop dark,skK4N,Reference status glyph,#214,5B. All tasks · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Navigation / Parent and worker sessions > Workers belonging to delegated setup > Worker hierarchy guide > Worker with PR example > Session labels > Optional tracker reference line > Optional PR or issue,T5Xpa/oNgwS/KQyUm/v1fIi/rPX7U/ueKrJ/tzf9H/BlJcL/lBd6J/u4ALzs/P799t,lucide,circle-dot,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#83BAFF,icons/lucide-circle-dot-ea10782b4ad5.svg,lucide/circle-dot/ea10782b4ad5,12px,12px,#83BAFF
834,T5Xpa,5B. All tasks · Desktop dark,guVeT,Project folder,website feature/accessibility-audit,5B. All tasks · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > website expanded,T5Xpa/oNgwS/KQyUm/v1fIi/iiyFT,lucide,folder-open,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#AFB5C5,icons/lucide-folder-open-0bc4319b1274.svg,lucide/folder-open/0bc4319b1274,18px,18px,#AFB5C5
835,T5Xpa,5B. All tasks · Desktop dark,h5Hh5,Expand project,website feature/accessibility-audit,5B. All tasks · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > website expanded,T5Xpa/oNgwS/KQyUm/v1fIi/iiyFT,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#AFB5C5
836,T5Xpa,5B. All tasks · Desktop dark,ek9pr,Reference status glyph,#91,5B. All tasks · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Website project sessions > Watch preview deployment > Session labels > Optional tracker reference line > Optional PR or issue,T5Xpa/oNgwS/KQyUm/v1fIi/Qvl1P/VCWtM/reZJA/oNbYA/N0SF1t,lucide,git-pull-request,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#D7BDFF,icons/lucide-git-pull-request-9ff25470d22f.svg,lucide/git-pull-request/9ff25470d22f,12px,12px,#D7BDFF
837,T5Xpa,5B. All tasks · Desktop dark,ek9pr,Reference status glyph,#298,5B. All tasks · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Website project sessions > Replace legacy carousel > Session labels > Optional tracker reference line > Optional PR or issue,T5Xpa/oNgwS/KQyUm/v1fIi/Qvl1P/EZIFQ/reZJA/oNbYA/N0SF1t,lucide,circle-dot,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#83BAFF,icons/lucide-circle-dot-ea10782b4ad5.svg,lucide/circle-dot/ea10782b4ad5,12px,12px,#83BAFF
838,T5Xpa,5B. All tasks · Desktop dark,M4JTn,Project folder,earwitness,5B. All tasks · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Folded project · earwitness,T5Xpa/oNgwS/KQyUm/v1fIi/joqG3,lucide,folder,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#AFB5C5,icons/lucide-folder-2492d9f6fc68.svg,lucide/folder/2492d9f6fc68,18px,18px,#AFB5C5
839,T5Xpa,5B. All tasks · Desktop dark,MCh44,Expand project,earwitness,5B. All tasks · Desktop dark > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Folded project · earwitness,T5Xpa/oNgwS/KQyUm/v1fIi/joqG3,lucide,chevron-right,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-chevron-right-cee1458c0dd0.svg,lucide/chevron-right/cee1458c0dd0,16px,16px,#AFB5C5
840,T5Xpa,5B. All tasks · Desktop dark,aVc2I,All tasks icon,,5B. All tasks · Desktop dark > Shared project navigation > Local workspace status > Compact workspace actions > All tasks button,T5Xpa/oNgwS/um4Dd/IqgWF/RsiQK,lucide,layers,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#AFB5C5,icons/lucide-layers-bcddb17470e3.svg,lucide/layers/bcddb17470e3,17px,17px,#AFB5C5
841,T5Xpa,5B. All tasks · Desktop dark,P71NN,Add project icon,,5B. All tasks · Desktop dark > Shared project navigation > Local workspace status > Compact workspace actions > Add project button,T5Xpa/oNgwS/um4Dd/IqgWF/ZTqX3,lucide,folder-plus,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#AFB5C5,icons/lucide-folder-plus-87f0433c6541.svg,lucide/folder-plus/87f0433c6541,17px,17px,#AFB5C5
842,T5Xpa,5B. All tasks · Desktop dark,fabdc,Global settings icon,,5B. All tasks · Desktop dark > Shared project navigation > Local workspace status > Compact workspace actions > Global settings button,T5Xpa/oNgwS/um4Dd/IqgWF/y8S6RQ,lucide,settings-2,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#AFB5C5,icons/lucide-settings-2-1cc665612c4e.svg,lucide/settings-2/1cc665612c4e,17px,17px,#AFB5C5
843,T5Xpa,5B. All tasks · Desktop dark,uGBu4,Tools icon,,5B. All tasks · Desktop dark > Shared project navigation > Local workspace status > Compact workspace actions > Tools button,T5Xpa/oNgwS/um4Dd/IqgWF/KjyBP,lucide,wrench,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#AFB5C5,icons/lucide-wrench-c007132f26fe.svg,lucide/wrench/c007132f26fe,17px,17px,#AFB5C5
844,T5Xpa,5B. All tasks · Desktop dark,kDEIk,Tools menu chevron,,5B. All tasks · Desktop dark > Shared project navigation > Local workspace status > Compact workspace actions > Tools button,T5Xpa/oNgwS/um4Dd/IqgWF/KjyBP,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 10px; width: 10px,#8992A6,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,10px,10px,#8992A6
845,T5Xpa,5B. All tasks · Desktop dark,n1KYP,Theme icon,,5B. All tasks · Desktop dark > Shared project navigation > Local workspace status > Compact workspace actions > Theme button,T5Xpa/oNgwS/um4Dd/IqgWF/VfHlv,lucide,sun-moon,box-sizing: border-box; flex-shrink: 0; height: 17px; width: 17px,#AFB5C5,icons/lucide-sun-moon-e715c2aaac76.svg,lucide/sun-moon/e715c2aaac76,17px,17px,#AFB5C5
846,T5Xpa,5B. All tasks · Desktop dark,C7sXiZ,Project folder,Workspace / All tasks main,5B. All tasks · Desktop dark > Page workspace > Shared page breadcrumb,T5Xpa/mrx0N/DxTMY,lucide,folder,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-folder-2492d9f6fc68.svg,lucide/folder/2492d9f6fc68,16px,16px,#8992A6
847,T5Xpa,5B. All tasks · Desktop dark,HhyPq,Isolated worktree indicator,Workspace / All tasks main,5B. All tasks · Desktop dark > Page workspace > Shared page breadcrumb,T5Xpa/mrx0N/DxTMY,lucide,shield-check,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#D7BDFF,icons/lucide-shield-check-588013874c94.svg,lucide/shield-check/588013874c94,16px,16px,#D7BDFF
848,T5Xpa,5B. All tasks · Desktop dark,OvAUD,Search every project…,Search every project…,5B. All tasks · Desktop dark > Page workspace > Page content > Search and task actions > Search every project…,T5Xpa/mrx0N/s5F22/pv7yW/Kht02,lucide,search,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-search-97566fb629e3.svg,lucide/search/97566fb629e3,16px,16px,#8992A6
849,T5Xpa,5B. All tasks · Desktop dark,kaiK6,Action icon,Filters,5B. All tasks · Desktop dark > Page workspace > Page content > Search and task actions > Filters,T5Xpa/mrx0N/s5F22/pv7yW/Tnctn,lucide,sliders-horizontal,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-sliders-horizontal-731edf23e1f1.svg,lucide/sliders-horizontal/731edf23e1f1,16px,16px,#AFB5C5
850,T5Xpa,5B. All tasks · Desktop dark,tJZMC,Action icon,New task,5B. All tasks · Desktop dark > Page workspace > Page content > Search and task actions > New task,T5Xpa/mrx0N/s5F22/pv7yW/roUlL,lucide,plus,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#0F172A,icons/lucide-plus-5d291bcb8254.svg,lucide/plus/5d291bcb8254,16px,16px,#0F172A
851,T5Xpa,5B. All tasks · Desktop dark,w9dA9,Action icon,Project,5B. All tasks · Desktop dark > Page workspace > Page content > Grouping filters > Project,T5Xpa/mrx0N/s5F22/M5Ta0/s9U161,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#AFB5C5
852,T5Xpa,5B. All tasks · Desktop dark,BTkSf,Action icon,Status,5B. All tasks · Desktop dark > Page workspace > Page content > Grouping filters > Status,T5Xpa/mrx0N/s5F22/M5Ta0/kaBGm,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#AFB5C5
853,T5Xpa,5B. All tasks · Desktop dark,jpxRb,Action icon,Workflow,5B. All tasks · Desktop dark > Page workspace > Page content > Grouping filters > Workflow,T5Xpa/mrx0N/s5F22/M5Ta0/x7iAw,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#AFB5C5
854,T5Xpa,5B. All tasks · Desktop dark,NcTuq,Action icon,View tasks,5B. All tasks · Desktop dark > Page workspace > Page content > Other workspace projects > toolkit-dev > View tasks,T5Xpa/mrx0N/s5F22/JbX6J/AML3l/pIEBF,lucide,arrow-up-right,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-arrow-up-right-2d96557fe9e6.svg,lucide/arrow-up-right/2d96557fe9e6,16px,16px,#AFB5C5
855,T5Xpa,5B. All tasks · Desktop dark,oWUBL,Action icon,View tasks,5B. All tasks · Desktop dark > Page workspace > Page content > Other workspace projects > prime > View tasks,T5Xpa/mrx0N/s5F22/JbX6J/f0A6T/Ju3Bm,lucide,arrow-up-right,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-arrow-up-right-2d96557fe9e6.svg,lucide/arrow-up-right/2d96557fe9e6,16px,16px,#AFB5C5
856,T5Xpa,5B. All tasks · Desktop dark,vUStw,Action icon,View tasks,5B. All tasks · Desktop dark > Page workspace > Page content > Other workspace projects > earwitness > View tasks,T5Xpa/mrx0N/s5F22/JbX6J/enTTq/sUK1m,lucide,arrow-up-right,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-arrow-up-right-2d96557fe9e6.svg,lucide/arrow-up-right/2d96557fe9e6,16px,16px,#AFB5C5
857,tQmNd,5D. All tasks · Mobile dark,fDgNy,Open navigation,Cezarion cezar,5D. All tasks · Mobile dark > Shared mobile header,tQmNd/i97hLW,lucide,menu,box-sizing: border-box; flex-shrink: 0; height: 20px; width: 20px,#8992A6,icons/lucide-menu-fdc199b4cb7c.svg,lucide/menu/fdc199b4cb7c,20px,20px,#8992A6
858,tQmNd,5D. All tasks · Mobile dark,hdpfq,Project,cezar,5D. All tasks · Mobile dark > Shared mobile header > Project picker,tQmNd/i97hLW/CT1L1,lucide,folder,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-folder-2492d9f6fc68.svg,lucide/folder/2492d9f6fc68,16px,16px,#8992A6
859,tQmNd,5D. All tasks · Mobile dark,H9qx4,Change project,cezar,5D. All tasks · Mobile dark > Shared mobile header > Project picker,tQmNd/i97hLW/CT1L1,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#8992A6
860,tQmNd,5D. All tasks · Mobile dark,wt8WE,Search every project…,Search every project…,5D. All tasks · Mobile dark > Page content > Search and task actions > Search every project…,tQmNd/grKaA/toJTp/fFUV5,lucide,search,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-search-97566fb629e3.svg,lucide/search/97566fb629e3,16px,16px,#8992A6
861,tQmNd,5D. All tasks · Mobile dark,kmapy,Action icon,Filters,5D. All tasks · Mobile dark > Page content > Search and task actions > Filters,tQmNd/grKaA/toJTp/oIg70,lucide,sliders-horizontal,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-sliders-horizontal-731edf23e1f1.svg,lucide/sliders-horizontal/731edf23e1f1,16px,16px,#AFB5C5
862,tQmNd,5D. All tasks · Mobile dark,URM5e,Action icon,New task,5D. All tasks · Mobile dark > Page content > Search and task actions > New task,tQmNd/grKaA/toJTp/qz6LC,lucide,plus,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#0F172A,icons/lucide-plus-5d291bcb8254.svg,lucide/plus/5d291bcb8254,16px,16px,#0F172A
863,tQmNd,5D. All tasks · Mobile dark,EIqNa,Action icon,Project,5D. All tasks · Mobile dark > Page content > Grouping filters > Project,tQmNd/grKaA/wwZC6/AWGeb,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#AFB5C5
864,tQmNd,5D. All tasks · Mobile dark,E4VyT,Action icon,Status,5D. All tasks · Mobile dark > Page content > Grouping filters > Status,tQmNd/grKaA/wwZC6/Z7Uuct,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#AFB5C5
865,tQmNd,5D. All tasks · Mobile dark,hHekD,Action icon,Workflow,5D. All tasks · Mobile dark > Page content > Grouping filters > Workflow,tQmNd/grKaA/wwZC6/ILXyh,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#AFB5C5
866,tQmNd,5D. All tasks · Mobile dark,P5lFf,Action icon,View tasks,5D. All tasks · Mobile dark > Page content > Other workspace projects > toolkit-dev > View tasks,tQmNd/grKaA/UVlSa/wvxHM/HyMFU,lucide,arrow-up-right,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-arrow-up-right-2d96557fe9e6.svg,lucide/arrow-up-right/2d96557fe9e6,16px,16px,#AFB5C5
867,tQmNd,5D. All tasks · Mobile dark,UxmVJ,Action icon,View tasks,5D. All tasks · Mobile dark > Page content > Other workspace projects > prime > View tasks,tQmNd/grKaA/UVlSa/cP8sY/j34SA,lucide,arrow-up-right,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-arrow-up-right-2d96557fe9e6.svg,lucide/arrow-up-right/2d96557fe9e6,16px,16px,#AFB5C5
868,tQmNd,5D. All tasks · Mobile dark,XUe8Q,Action icon,View tasks,5D. All tasks · Mobile dark > Page content > Other workspace projects > earwitness > View tasks,tQmNd/grKaA/UVlSa/TylJ4/YuzcN,lucide,arrow-up-right,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-arrow-up-right-2d96557fe9e6.svg,lucide/arrow-up-right/2d96557fe9e6,16px,16px,#AFB5C5
869,rUusA,6A. Git · Changes · Desktop light,Miq1Y,Search,Search… ⌘K,6A. Git · Changes · Desktop light > Shared project navigation > Search tasks,rUusA/AZk3e/zmwW1,lucide,search,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-search-97566fb629e3.svg,lucide/search/97566fb629e3,16px,16px,#667084
870,rUusA,6A. Git · Changes · Desktop light,Zl85A,New task icon,New task,6A. Git · Changes · Desktop light > Shared project navigation > Workspace links > New task,rUusA/AZk3e/KZzFc/BmQeP,lucide,plus,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#667084,icons/lucide-plus-5d291bcb8254.svg,lucide/plus/5d291bcb8254,18px,18px,#667084
871,rUusA,6A. Git · Changes · Desktop light,O5FimD,Project folder,iac main,6A. Git · Changes · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > iac expanded,rUusA/AZk3e/KQyUm/v1fIi/v4agI,lucide,folder-open,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#4B5566,icons/lucide-folder-open-0bc4319b1274.svg,lucide/folder-open/0bc4319b1274,18px,18px,#4B5566
872,rUusA,6A. Git · Changes · Desktop light,IsuOX,Expand project,iac main,6A. Git · Changes · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > iac expanded,rUusA/AZk3e/KQyUm/v1fIi/v4agI,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0,16px,16px,#4B5566
873,rUusA,6A. Git · Changes · Desktop light,a5Y7JP,New task icon,Tasks,6A. Git · Changes · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Tasks,rUusA/AZk3e/KQyUm/v1fIi/s5hjd/VCFvJ,lucide,list-todo,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-list-todo-90fea884f26c.svg,lucide/list-todo/90fea884f26c,15px,15px,#667084
874,rUusA,6A. Git · Changes · Desktop light,hHOuY,New task icon,Git,6A. Git · Changes · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Git,rUusA/AZk3e/KQyUm/v1fIi/s5hjd/Kc4cv,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96,15px,15px,#667084
875,rUusA,6A. Git · Changes · Desktop light,P2vbl,New task icon,GitHub,6A. Git · Changes · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > GitHub,rUusA/AZk3e/KQyUm/v1fIi/s5hjd/Mu3ek,lucide,github,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-github-357f9b03fe86.svg,lucide/github/357f9b03fe86,15px,15px,#667084
876,rUusA,6A. Git · Changes · Desktop light,S7MZN4,New task icon,Skills,6A. Git · Changes · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Skills,rUusA/AZk3e/KQyUm/v1fIi/s5hjd/jFls7,lucide,sparkles,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-sparkles-34b3b72da68a.svg,lucide/sparkles/34b3b72da68a,15px,15px,#667084
877,rUusA,6A. Git · Changes · Desktop light,v2mWUn,New task icon,Workflows,6A. Git · Changes · Desktop light > Shared project navigation > Scrollable projects and sessions > Expanded project and session navigation > Project destinations > Workflows,rUusA/AZk3e/KQyUm/v1fIi/s5hjd/a9yTex,lucide,workflow,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-workflow-8a89b4882c44.svg,lucide/workflow/8a89b4882c44,15px,15px,#667084
